Feature,Label,Precision,Recall,F1-Score,Support
lag1_freq_051_3,1.0,0.67,0.42,0.51,89
lag1_freq_051_3,2.0,0.54,0.83,0.65,76
lag1_freq_051_3,Average,0.5666666666666668,,,
lag1_freq_061_3,0.0,0.51,0.43,0.47,83
lag1_freq_061_3,1.0,0.61,0.38,0.47,89
lag1_freq_061_3,2.0,0.56,0.89,0.69,76
lag1_freq_061_3,Average,0.56,,,
lag1_freq_071_3,0.0,0.44,0.55,0.49,83
lag1_freq_071_3,1.0,0.65,0.15,0.24,89
lag1_freq_071_3,2.0,0.54,0.88,0.67,76
lag1_freq_071_3,Average,0.5433333333333333,,,
lag1_freq_081_3,0.0,0.49,0.41,0.45,83
lag1_freq_081_3,1.0,0.38,0.28,0.32,89
lag1_freq_081_3,2.0,0.61,0.91,0.73,76
lag1_freq_081_3,Average,0.49333333333333335,,,
lag1_freq_091_3,0.0,0.76,0.35,0.48,83
lag1_freq_091_3,1.0,0.53,0.56,0.54,89
lag1_freq_091_3,2.0,0.6,0.91,0.72,76
lag1_freq_091_3,Average,0.63,,,
lag1_freq_101_3,0.0,0.73,0.52,0.61,83
lag1_freq_101_3,1.0,0.57,0.47,0.52,89
lag1_freq_101_3,2.0,0.61,0.92,0.73,76
lag1_freq_101_3,Average,0.6366666666666666,,,
lag1_freq_111_3,0.0,0.71,0.43,0.54,83
lag1_freq_111_3,1.0,0.53,0.53,0.53,89
lag1_freq_111_3,2.0,0.63,0.91,0.75,76
lag1_freq_111_3,Average,0.6233333333333334,,,
lag1_freq_122_3,0.0,0.75,0.53,0.62,83
lag1_freq_122_3,1.0,0.51,0.4,0.45,89
lag1_freq_122_3,2.0,0.59,0.92,0.72,76
lag1_freq_122_3,Average,0.6166666666666667,,,
lag1_freq_132_3,0.0,0.49,0.27,0.34,83
lag1_freq_132_3,1.0,0.4,0.35,0.37,89
lag1_freq_132_3,2.0,0.54,0.89,0.67,76
lag1_freq_132_3,Average,0.47666666666666674,,,
lag1_freq_142_3,0.0,0.54,0.49,0.52,83
lag1_freq_142_3,1.0,0.4,0.24,0.3,89
lag1_freq_142_3,2.0,0.56,0.88,0.68,76
lag1_freq_142_3,Average,0.5,,,
lag1_freq_152_3,0.0,0.54,0.43,0.48,83
lag1_freq_152_3,1.0,0.45,0.29,0.35,89
lag1_freq_152_3,2.0,0.56,0.91,0.69,76
lag1_freq_152_3,Average,0.5166666666666667,,,
lag1_freq_162_3,0.0,0.44,0.28,0.34,83
lag1_freq_162_3,1.0,0.4,0.36,0.38,89
lag1_freq_162_3,2.0,0.57,0.87,0.69,76
lag1_freq_162_3,Average,0.47000000000000003,,,
lag1_freq_172_3,0.0,0.64,0.46,0.54,83
lag1_freq_172_3,1.0,0.59,0.42,0.49,89
lag1_freq_172_3,2.0,0.55,0.91,0.68,76
lag1_freq_172_3,Average,0.5933333333333334,,,
lag1_freq_182_3,0.0,0.55,0.46,0.5,83
lag1_freq_182_3,1.0,0.57,0.34,0.42,89
lag1_freq_182_3,2.0,0.57,0.95,0.71,76
lag1_freq_182_3,Average,0.5633333333333334,,,
lag1_freq_193_3,0.0,0.57,0.49,0.53,83
lag1_freq_193_3,1.0,0.44,0.26,0.33,89
lag1_freq_193_3,2.0,0.56,0.91,0.69,76
lag1_freq_193_3,Average,0.5233333333333333,,,
lag1_freq_203_3,0.0,0.51,0.52,0.51,83
lag1_freq_203_3,1.0,0.37,0.12,0.18,89
lag1_freq_203_3,2.0,0.51,0.91,0.66,76
lag1_freq_203_3,Average,0.4633333333333334,,,
lag1_freq_213_3,0.0,0.55,0.43,0.49,83
lag1_freq_213_3,1.0,0.41,0.31,0.36,89
lag1_freq_213_3,2.0,0.6,0.91,0.72,76
lag1_freq_213_3,Average,0.52,,,
lag1_freq_223_3,0.0,0.55,0.37,0.45,83
lag1_freq_223_3,1.0,0.49,0.4,0.44,89
lag1_freq_223_3,2.0,0.58,0.91,0.71,76
lag1_freq_223_3,Average,0.54,,,
lag1_freq_233_3,0.0,0.49,0.46,0.47,83
lag1_freq_233_3,1.0,0.46,0.2,0.28,89
lag1_freq_233_3,2.0,0.53,0.92,0.68,76
lag1_freq_233_3,Average,0.49333333333333335,,,
lag1_freq_243_3,0.0,0.47,0.45,0.46,83
lag1_freq_243_3,1.0,0.49,0.25,0.33,89
lag1_freq_243_3,2.0,0.54,0.88,0.67,76
lag1_freq_243_3,Average,0.5,,,
lag1_freq_253_3,0.0,0.52,0.6,0.56,83
lag1_freq_253_3,1.0,0.3,0.03,0.06,89
lag1_freq_253_3,2.0,0.5,0.93,0.65,76
lag1_freq_253_3,Average,0.44,,,
lag1_freq_264_3,0.0,0.53,0.66,0.59,83
lag1_freq_264_3,1.0,0.67,0.04,0.08,89
lag1_freq_264_3,2.0,0.5,0.91,0.64,76
lag1_freq_264_3,Average,0.5666666666666668,,,
lag1_freq_274_3,0.0,0.53,0.57,0.55,83
lag1_freq_274_3,1.0,0.69,0.12,0.21,89
lag1_freq_274_3,2.0,0.49,0.92,0.64,76
lag1_freq_274_3,Average,0.57,,,
lag1_freq_284_3,0.0,0.46,0.57,0.51,83
lag1_freq_284_3,1.0,0.38,0.06,0.1,89
lag1_freq_284_3,2.0,0.51,0.88,0.64,76
lag1_freq_284_3,Average,0.45,,,
lag1_freq_294_3,0.0,0.45,0.54,0.49,83
lag1_freq_294_3,1.0,0.43,0.07,0.12,89
lag1_freq_294_3,2.0,0.49,0.86,0.62,76
lag1_freq_294_3,Average,0.4566666666666667,,,
lag1_freq_304_3,0.0,0.5,0.63,0.55,83
lag1_freq_304_3,1.0,0.5,0.07,0.12,89
lag1_freq_304_3,2.0,0.53,0.92,0.68,76
lag1_freq_304_3,Average,0.51,,,
lag1_freq_314_3,0.0,0.5,0.65,0.57,83
lag1_freq_314_3,1.0,0.33,0.03,0.06,89
lag1_freq_314_3,2.0,0.53,0.92,0.68,76
lag1_freq_314_3,Average,0.45333333333333337,,,
lag1_freq_324_3,0.0,0.51,0.54,0.53,83
lag1_freq_324_3,1.0,0.61,0.12,0.21,89
lag1_freq_324_3,2.0,0.51,0.95,0.66,76
lag1_freq_324_3,Average,0.5433333333333333,,,
lag1_freq_334_3,0.0,0.49,0.59,0.54,83
lag1_freq_334_3,1.0,0.45,0.06,0.1,89
lag1_freq_334_3,2.0,0.51,0.93,0.66,76
lag1_freq_334_3,Average,0.48333333333333334,,,
lag1_freq_345_3,0.0,0.51,0.66,0.58,83
lag1_freq_345_3,1.0,0.5,0.08,0.14,89
lag1_freq_345_3,2.0,0.56,0.93,0.7,76
lag1_freq_345_3,Average,0.5233333333333333,,,
lag1_freq_355_3,0.0,0.45,0.53,0.49,83
lag1_freq_355_3,1.0,0.52,0.12,0.2,89
lag1_freq_355_3,2.0,0.51,0.87,0.64,76
lag1_freq_355_3,Average,0.49333333333333335,,,
lag1_freq_365_3,0.0,0.49,0.53,0.51,83
lag1_freq_365_3,1.0,0.4,0.09,0.15,89
lag1_freq_365_3,2.0,0.5,0.91,0.64,76
lag1_freq_365_3,Average,0.4633333333333334,,,
lag1_freq_375_3,0.0,0.45,0.46,0.45,83
lag1_freq_375_3,1.0,0.32,0.09,0.14,89
lag1_freq_375_3,2.0,0.49,0.89,0.64,76
lag1_freq_375_3,Average,0.42,,,
lag1_freq_385_3,0.0,0.48,0.54,0.51,83
lag1_freq_385_3,1.0,0.54,0.15,0.23,89
lag1_freq_385_3,2.0,0.54,0.92,0.68,76
lag1_freq_385_3,Average,0.52,,,
lag1_freq_395_3,0.0,0.49,0.55,0.52,83
lag1_freq_395_3,1.0,0.56,0.1,0.17,89
lag1_freq_395_3,2.0,0.51,0.93,0.66,76
lag1_freq_395_3,Average,0.52,,,
lag1_freq_405_3,0.0,0.45,0.48,0.47,83
lag1_freq_405_3,1.0,0.27,0.07,0.11,89
lag1_freq_405_3,2.0,0.49,0.89,0.64,76
lag1_freq_405_3,Average,0.4033333333333333,,,
lag1_freq_416_3,0.0,0.51,0.6,0.55,83
lag1_freq_416_3,1.0,0.65,0.12,0.21,89
lag1_freq_416_3,2.0,0.52,0.89,0.65,76
lag1_freq_416_3,Average,0.56,,,
lag1_freq_426_3,0.0,0.47,0.51,0.49,83
lag1_freq_426_3,1.0,0.4,0.07,0.12,89
lag1_freq_426_3,2.0,0.49,0.93,0.65,76
lag1_freq_426_3,Average,0.4533333333333333,,,
lag1_freq_436_3,0.0,0.5,0.59,0.54,83
lag1_freq_436_3,1.0,0.22,0.02,0.04,89
lag1_freq_436_3,2.0,0.51,0.95,0.66,76
lag1_freq_436_3,Average,0.41,,,
lag1_freq_446_3,0.0,0.48,0.54,0.51,83
lag1_freq_446_3,1.0,0.57,0.15,0.23,89
lag1_freq_446_3,2.0,0.53,0.92,0.67,76
lag1_freq_446_3,Average,0.5266666666666666,,,
lag1_freq_456_3,0.0,0.48,0.54,0.51,83
lag1_freq_456_3,1.0,0.31,0.04,0.08,89
lag1_freq_456_3,2.0,0.5,0.93,0.65,76
lag1_freq_456_3,Average,0.43,,,
lag1_freq_466_3,0.0,0.51,0.58,0.54,83
lag1_freq_466_3,1.0,0.47,0.09,0.15,89
lag1_freq_466_3,2.0,0.49,0.88,0.63,76
lag1_freq_466_3,Average,0.49,,,
lag1_freq_476_3,0.0,0.46,0.48,0.47,83
lag1_freq_476_3,1.0,0.55,0.12,0.2,89
lag1_freq_476_3,2.0,0.51,0.95,0.66,76
lag1_freq_476_3,Average,0.5066666666666667,,,
lag1_freq_486_3,0.0,0.46,0.58,0.51,83
lag1_freq_486_3,1.0,0.5,0.02,0.04,89
lag1_freq_486_3,2.0,0.48,0.88,0.62,76
lag1_freq_486_3,Average,0.48,,,
lag1_freq_517_3,0.0,0.46,0.63,0.53,83
lag1_freq_517_3,1.0,0.43,0.03,0.06,89
lag1_freq_517_3,2.0,0.53,0.89,0.67,76
lag1_freq_517_3,Average,0.47333333333333333,,,
lag1_freq_527_3,0.0,0.43,0.48,0.46,83
lag1_freq_527_3,1.0,0.4,0.04,0.08,89
lag1_freq_527_3,2.0,0.47,0.91,0.62,76
lag1_freq_527_3,Average,0.43333333333333335,,,
lag1_freq_537_3,0.0,0.58,0.42,0.49,83
lag1_freq_537_3,1.0,0.59,0.27,0.37,89
lag1_freq_537_3,2.0,0.48,0.92,0.63,76
lag1_freq_537_3,Average,0.5499999999999999,,,
lag1_freq_547_3,0.0,0.46,0.49,0.47,83
lag1_freq_547_3,1.0,0.4,0.07,0.12,89
lag1_freq_547_3,2.0,0.49,0.92,0.64,76
lag1_freq_547_3,Average,0.45,,,
lag1_freq_557_3,0.0,0.46,0.53,0.49,83
lag1_freq_557_3,1.0,0.29,0.06,0.09,89
lag1_freq_557_3,2.0,0.51,0.92,0.66,76
lag1_freq_557_3,Average,0.42,,,
lag1_freq_568_3,0.0,0.52,0.6,0.56,83
lag1_freq_568_3,1.0,0.25,0.01,0.02,89
lag1_freq_568_3,2.0,0.47,0.91,0.62,76
lag1_freq_568_3,Average,0.41333333333333333,,,
lag1_freq_578_3,0.0,0.54,0.55,0.55,83
lag1_freq_578_3,1.0,0.72,0.15,0.24,89
lag1_freq_578_3,2.0,0.48,0.91,0.62,76
lag1_freq_578_3,Average,0.58,,,
lag1_freq_588_3,0.0,0.52,0.6,0.56,83
lag1_freq_588_3,1.0,1.0,0.04,0.09,89
lag1_freq_588_3,2.0,0.46,0.89,0.61,76
lag1_freq_588_3,Average,0.66,,,
lag1_freq_598_3,0.0,0.47,0.51,0.49,83
lag1_freq_598_3,1.0,0.54,0.15,0.23,89
lag1_freq_598_3,2.0,0.51,0.91,0.66,76
lag1_freq_598_3,Average,0.5066666666666667,,,
lag1_freq_608_3,0.0,0.51,0.53,0.52,83
lag1_freq_608_3,1.0,0.48,0.13,0.21,89
lag1_freq_608_3,2.0,0.51,0.91,0.65,76
lag1_freq_608_3,Average,0.5,,,
lag1_freq_618_3,0.0,0.41,0.43,0.42,83
lag1_freq_618_3,1.0,0.42,0.06,0.1,89
lag1_freq_618_3,2.0,0.47,0.92,0.62,76
lag1_freq_618_3,Average,0.4333333333333333,,,
lag1_freq_628_3,0.0,0.43,0.48,0.45,83
lag1_freq_628_3,1.0,0.4,0.04,0.08,89
lag1_freq_628_3,2.0,0.47,0.89,0.62,76
lag1_freq_628_3,Average,0.43333333333333335,,,
lag1_freq_639_3,0.0,0.47,0.52,0.49,83
lag1_freq_639_3,1.0,0.31,0.04,0.08,89
lag1_freq_639_3,2.0,0.48,0.91,0.63,76
lag1_freq_639_3,Average,0.42,,,
lag1_freq_649_3,0.0,0.46,0.43,0.45,83
lag1_freq_649_3,1.0,0.33,0.11,0.17,89
lag1_freq_649_3,2.0,0.47,0.87,0.61,76
lag1_freq_649_3,Average,0.42,,,
lag1_freq_659_3,0.0,0.55,0.6,0.57,83
lag1_freq_659_3,1.0,0.72,0.15,0.24,89
lag1_freq_659_3,2.0,0.53,0.96,0.68,76
lag1_freq_659_3,Average,0.6,,,
lag1_freq_669_3,0.0,0.47,0.53,0.5,83
lag1_freq_669_3,1.0,0.36,0.06,0.1,89
lag1_freq_669_3,2.0,0.47,0.87,0.61,76
lag1_freq_669_3,Average,0.4333333333333333,,,
lag1_freq_679_3,0.0,0.5,0.47,0.48,83
lag1_freq_679_3,1.0,0.59,0.15,0.23,89
lag1_freq_679_3,2.0,0.46,0.89,0.61,76
lag1_freq_679_3,Average,0.5166666666666666,,,
lag1_freq_689_3,0.0,0.45,0.45,0.45,83
lag1_freq_689_3,1.0,0.37,0.08,0.13,89
lag1_freq_689_3,2.0,0.47,0.91,0.62,76
lag1_freq_689_3,Average,0.43,,,
lag1_freq_699_3,0.0,0.42,0.47,0.45,83
lag1_freq_699_3,1.0,0.42,0.06,0.1,89
lag1_freq_699_3,2.0,0.48,0.91,0.63,76
lag1_freq_699_3,Average,0.43999999999999995,,,
lag1_freq_709_3,0.0,0.45,0.49,0.47,83
lag1_freq_709_3,1.0,0.33,0.04,0.08,89
lag1_freq_709_3,2.0,0.48,0.91,0.63,76
lag1_freq_709_3,Average,0.42,,,
lag1_freq_720_3,0.0,0.41,0.43,0.42,83
lag1_freq_720_3,1.0,0.3,0.07,0.11,89
lag1_freq_720_3,2.0,0.46,0.84,0.59,76
lag1_freq_720_3,Average,0.38999999999999996,,,
lag1_freq_730_3,0.0,0.47,0.51,0.49,83
lag1_freq_730_3,1.0,0.57,0.09,0.16,89
lag1_freq_730_3,2.0,0.48,0.91,0.62,76
lag1_freq_730_3,Average,0.5066666666666667,,,
lag1_freq_740_3,0.0,0.53,0.53,0.53,83
lag1_freq_740_3,1.0,0.43,0.1,0.16,89
lag1_freq_740_3,2.0,0.49,0.92,0.64,76
lag1_freq_740_3,Average,0.48333333333333334,,,
lag1_freq_750_3,0.0,0.46,0.46,0.46,83
lag1_freq_750_3,1.0,0.43,0.1,0.16,89
lag1_freq_750_3,2.0,0.47,0.89,0.62,76
lag1_freq_750_3,Average,0.4533333333333333,,,
std_2,0.0,0.45,0.99,0.62,83
std_2,1.0,0.17,0.04,0.07,89
std_2,2.0,0.93,0.54,0.68,76
std_2,Average,0.5166666666666667,,,
max_2,0.0,0.43,0.98,0.6,83
max_2,1.0,0.25,0.04,0.08,89
max_2,2.0,0.91,0.51,0.66,76
max_2,Average,0.5299999999999999,,,
max_q1_2,0.0,0.45,0.98,0.61,83
max_q1_2,1.0,0.48,0.13,0.21,89
max_q1_2,2.0,0.93,0.5,0.65,76
max_q1_2,Average,0.62,,,
max_q2_2,0.0,0.44,0.95,0.6,83
max_q2_2,1.0,0.43,0.13,0.21,89
max_q2_2,2.0,0.92,0.47,0.63,76
max_q2_2,Average,0.5966666666666667,,,
max_q3_2,0.0,0.44,0.99,0.61,83
max_q3_2,1.0,0.48,0.12,0.2,89
max_q3_2,2.0,0.92,0.46,0.61,76
max_q3_2,Average,0.6133333333333333,,,
max_q4_2,0.0,0.43,0.96,0.6,83
max_q4_2,1.0,0.43,0.11,0.18,89
max_q4_2,2.0,0.93,0.5,0.65,76
max_q4_2,Average,0.5966666666666667,,,
min_2,0.0,0.45,1.0,0.62,83
min_2,1.0,0.22,0.06,0.09,89
min_2,2.0,0.95,0.53,0.68,76
min_2,Average,0.54,,,
min_q1_2,0.0,0.45,0.99,0.62,83
min_q1_2,1.0,0.24,0.04,0.08,89
min_q1_2,2.0,0.96,0.62,0.75,76
min_q1_2,Average,0.5499999999999999,,,
min_q2_2,0.0,0.46,0.98,0.63,83
min_q2_2,1.0,0.42,0.12,0.19,89
min_q2_2,2.0,0.96,0.58,0.72,76
min_q2_2,Average,0.6133333333333333,,,
min_q3_2,0.0,0.44,0.96,0.61,83
min_q3_2,1.0,0.24,0.06,0.09,89
min_q3_2,2.0,0.96,0.59,0.73,76
min_q3_2,Average,0.5466666666666666,,,
min_q4_2,0.0,0.46,0.95,0.62,83
min_q4_2,1.0,0.38,0.13,0.2,89
min_q4_2,2.0,0.95,0.54,0.69,76
min_q4_2,Average,0.5966666666666667,,,
covM_0_2,0.0,0.0,0.0,0.0,83
covM_0_2,1.0,0.4,0.99,0.57,89
covM_0_2,2.0,1.0,0.29,0.45,76
covM_0_2,Average,0.4666666666666666,,,
covM_2_2,0.0,0.45,1.0,0.62,83
covM_2_2,1.0,0.07,0.02,0.03,89
covM_2_2,2.0,0.91,0.42,0.58,76
covM_2_2,Average,0.47666666666666674,,,
eigenval_0,0.0,0.4,1.0,0.58,83
eigenval_0,1.0,0.0,0.0,0.0,89
eigenval_0,2.0,0.91,0.42,0.58,76
eigenval_0,Average,0.4366666666666667,,,
logcovM_2_2,0.0,0.52,0.8,0.63,83
logcovM_2_2,1.0,0.68,0.44,0.53,89
logcovM_2_2,2.0,0.91,0.78,0.84,76
logcovM_2_2,Average,0.7033333333333335,,,
freq_030_0,0.0,0.53,0.43,0.48,83
freq_030_0,1.0,0.69,0.39,0.5,89
freq_030_0,2.0,0.47,0.8,0.6,76
freq_030_0,Average,0.5633333333333334,,,
freq_041_0,0.0,0.58,0.59,0.59,83
freq_041_0,1.0,0.68,0.4,0.51,89
freq_041_0,2.0,0.56,0.82,0.66,76
freq_041_0,Average,0.6066666666666667,,,
freq_061_0,0.0,0.39,0.31,0.35,83
freq_061_0,1.0,0.52,0.29,0.37,89
freq_061_0,2.0,0.48,0.84,0.62,76
freq_061_0,Average,0.4633333333333334,,,
freq_071_0,0.0,0.45,0.55,0.5,83
freq_071_0,1.0,0.6,0.07,0.12,89
freq_071_0,2.0,0.48,0.86,0.61,76
freq_071_0,Average,0.51,,,
freq_081_0,0.0,0.56,0.45,0.5,83
freq_081_0,1.0,0.51,0.31,0.39,89
freq_081_0,2.0,0.53,0.88,0.66,76
freq_081_0,Average,0.5333333333333333,,,
freq_091_0,0.0,0.63,0.31,0.42,83
freq_091_0,1.0,0.46,0.47,0.47,89
freq_091_0,2.0,0.56,0.86,0.68,76
freq_091_0,Average,0.55,,,
freq_101_0,0.0,0.73,0.4,0.52,83
freq_101_0,1.0,0.48,0.45,0.46,89
freq_101_0,2.0,0.58,0.91,0.71,76
freq_101_0,Average,0.5966666666666667,,,
freq_111_0,0.0,0.81,0.47,0.6,83
freq_111_0,1.0,0.54,0.46,0.5,89
freq_111_0,2.0,0.55,0.89,0.68,76
freq_111_0,Average,0.6333333333333334,,,
freq_122_0,0.0,0.68,0.53,0.59,83
freq_122_0,1.0,0.5,0.34,0.4,89
freq_122_0,2.0,0.56,0.91,0.69,76
freq_122_0,Average,0.5800000000000001,,,
freq_132_0,0.0,0.62,0.49,0.55,83
freq_132_0,1.0,0.47,0.31,0.38,89
freq_132_0,2.0,0.56,0.91,0.69,76
freq_132_0,Average,0.5499999999999999,,,
freq_142_0,0.0,0.51,0.46,0.48,83
freq_142_0,1.0,0.49,0.25,0.33,89
freq_142_0,2.0,0.51,0.87,0.64,76
freq_142_0,Average,0.5033333333333333,,,
freq_152_0,0.0,0.54,0.66,0.6,83
freq_152_0,1.0,0.5,0.07,0.12,89
freq_152_0,2.0,0.5,0.88,0.64,76
freq_152_0,Average,0.5133333333333333,,,
freq_162_0,0.0,0.56,0.41,0.47,83
freq_162_0,1.0,0.46,0.25,0.32,89
freq_162_0,2.0,0.5,0.91,0.64,76
freq_162_0,Average,0.5066666666666667,,,
freq_172_0,0.0,0.63,0.53,0.58,83
freq_172_0,1.0,0.48,0.29,0.36,89
freq_172_0,2.0,0.52,0.86,0.65,76
freq_172_0,Average,0.5433333333333333,,,
freq_182_0,0.0,0.46,0.39,0.42,83
freq_182_0,1.0,0.35,0.2,0.26,89
freq_182_0,2.0,0.52,0.86,0.64,76
freq_182_0,Average,0.44333333333333336,,,
freq_193_0,0.0,0.57,0.4,0.47,83
freq_193_0,1.0,0.43,0.28,0.34,89
freq_193_0,2.0,0.52,0.91,0.66,76
freq_193_0,Average,0.5066666666666667,,,
freq_203_0,0.0,0.61,0.3,0.4,83
freq_203_0,1.0,0.43,0.35,0.39,89
freq_203_0,2.0,0.51,0.91,0.65,76
freq_203_0,Average,0.5166666666666667,,,
freq_213_0,0.0,0.56,0.6,0.58,83
freq_213_0,1.0,0.58,0.28,0.38,89
freq_213_0,2.0,0.56,0.86,0.68,76
freq_213_0,Average,0.5666666666666668,,,
freq_223_0,0.0,0.55,0.39,0.45,83
freq_223_0,1.0,0.46,0.36,0.4,89
freq_223_0,2.0,0.57,0.89,0.69,76
freq_223_0,Average,0.5266666666666667,,,
freq_233_0,0.0,0.58,0.53,0.55,83
freq_233_0,1.0,0.41,0.26,0.32,89
freq_233_0,2.0,0.58,0.88,0.7,76
freq_233_0,Average,0.5233333333333333,,,
freq_243_0,0.0,0.62,0.59,0.6,83
freq_243_0,1.0,0.54,0.22,0.32,89
freq_243_0,2.0,0.52,0.89,0.65,76
freq_243_0,Average,0.56,,,
freq_253_0,0.0,0.52,0.64,0.57,83
freq_253_0,1.0,0.5,0.08,0.14,89
freq_253_0,2.0,0.52,0.91,0.66,76
freq_253_0,Average,0.5133333333333333,,,
freq_264_0,0.0,0.57,0.52,0.54,83
freq_264_0,1.0,0.43,0.22,0.3,89
freq_264_0,2.0,0.53,0.88,0.66,76
freq_264_0,Average,0.51,,,
freq_274_0,0.0,0.52,0.53,0.52,83
freq_274_0,1.0,0.4,0.11,0.18,89
freq_274_0,2.0,0.5,0.91,0.64,76
freq_274_0,Average,0.47333333333333333,,,
freq_284_0,0.0,0.49,0.59,0.54,83
freq_284_0,1.0,0.4,0.04,0.08,89
freq_284_0,2.0,0.49,0.89,0.64,76
freq_284_0,Average,0.45999999999999996,,,
freq_294_0,0.0,0.55,0.7,0.62,83
freq_294_0,1.0,0.5,0.07,0.12,89
freq_294_0,2.0,0.51,0.88,0.65,76
freq_294_0,Average,0.52,,,
freq_304_0,0.0,0.44,0.52,0.48,83
freq_304_0,1.0,0.23,0.03,0.06,89
freq_304_0,2.0,0.51,0.92,0.65,76
freq_304_0,Average,0.39333333333333337,,,
freq_314_0,0.0,0.47,0.58,0.52,83
freq_314_0,1.0,0.33,0.04,0.08,89
freq_314_0,2.0,0.52,0.91,0.66,76
freq_314_0,Average,0.44,,,
freq_324_0,0.0,0.53,0.66,0.59,83
freq_324_0,1.0,0.43,0.03,0.06,89
freq_324_0,2.0,0.5,0.89,0.64,76
freq_324_0,Average,0.48666666666666664,,,
freq_334_0,0.0,0.54,0.76,0.63,83
freq_334_0,1.0,0.75,0.03,0.06,89
freq_334_0,2.0,0.54,0.91,0.68,76
freq_334_0,Average,0.61,,,
freq_345_0,0.0,0.52,0.64,0.58,83
freq_345_0,1.0,0.0,0.0,0.0,89
freq_345_0,2.0,0.47,0.89,0.62,76
freq_345_0,Average,0.33,,,
freq_355_0,0.0,0.45,0.51,0.48,83
freq_355_0,1.0,0.44,0.09,0.15,89
freq_355_0,2.0,0.49,0.88,0.63,76
freq_355_0,Average,0.45999999999999996,,,
freq_365_0,0.0,0.49,0.47,0.48,83
freq_365_0,1.0,0.38,0.06,0.1,89
freq_365_0,2.0,0.45,0.92,0.6,76
freq_365_0,Average,0.44,,,
freq_375_0,0.0,0.52,0.53,0.52,83
freq_375_0,1.0,0.38,0.06,0.1,89
freq_375_0,2.0,0.45,0.89,0.6,76
freq_375_0,Average,0.45,,,
freq_385_0,0.0,0.45,0.55,0.5,83
freq_385_0,1.0,0.25,0.02,0.04,89
freq_385_0,2.0,0.49,0.88,0.63,76
freq_385_0,Average,0.39666666666666667,,,
freq_395_0,0.0,0.46,0.55,0.5,83
freq_395_0,1.0,0.4,0.04,0.08,89
freq_395_0,2.0,0.48,0.87,0.62,76
freq_395_0,Average,0.4466666666666667,,,
freq_405_0,0.0,0.47,0.46,0.46,83
freq_405_0,1.0,0.39,0.08,0.13,89
freq_405_0,2.0,0.44,0.87,0.59,76
freq_405_0,Average,0.43333333333333335,,,
freq_416_0,0.0,0.52,0.57,0.54,83
freq_416_0,1.0,0.44,0.09,0.15,89
freq_416_0,2.0,0.48,0.88,0.62,76
freq_416_0,Average,0.48,,,
freq_426_0,0.0,0.54,0.52,0.53,83
freq_426_0,1.0,0.52,0.13,0.21,89
freq_426_0,2.0,0.5,0.95,0.65,76
freq_426_0,Average,0.52,,,
freq_436_0,0.0,0.55,0.57,0.56,83
freq_436_0,1.0,0.57,0.04,0.08,89
freq_436_0,2.0,0.46,0.93,0.61,76
freq_436_0,Average,0.5266666666666667,,,
freq_446_0,0.0,0.6,0.67,0.64,83
freq_446_0,1.0,0.36,0.04,0.08,89
freq_446_0,2.0,0.48,0.91,0.63,76
freq_446_0,Average,0.48,,,
freq_456_0,0.0,0.57,0.66,0.61,83
freq_456_0,1.0,0.5,0.04,0.08,89
freq_456_0,2.0,0.5,0.93,0.65,76
freq_456_0,Average,0.5233333333333333,,,
freq_466_0,0.0,0.53,0.61,0.57,83
freq_466_0,1.0,0.6,0.03,0.06,89
freq_466_0,2.0,0.44,0.84,0.58,76
freq_466_0,Average,0.5233333333333333,,,
freq_476_0,0.0,0.49,0.54,0.51,83
freq_476_0,1.0,0.4,0.07,0.12,89
freq_476_0,2.0,0.48,0.88,0.62,76
freq_476_0,Average,0.4566666666666667,,,
freq_486_0,0.0,0.52,0.64,0.57,83
freq_486_0,1.0,0.5,0.08,0.14,89
freq_486_0,2.0,0.52,0.89,0.65,76
freq_486_0,Average,0.5133333333333333,,,
freq_517_0,0.0,0.68,0.41,0.51,83
freq_517_0,1.0,0.5,0.4,0.45,89
freq_517_0,2.0,0.53,0.88,0.66,76
freq_517_0,Average,0.5700000000000001,,,
freq_527_0,0.0,0.57,0.8,0.67,83
freq_527_0,1.0,0.5,0.06,0.1,89
freq_527_0,2.0,0.54,0.88,0.67,76
freq_527_0,Average,0.5366666666666666,,,
freq_537_0,0.0,0.54,0.66,0.59,83
freq_537_0,1.0,0.83,0.06,0.11,89
freq_537_0,2.0,0.47,0.87,0.61,76
freq_537_0,Average,0.6133333333333334,,,
freq_547_0,0.0,0.56,0.69,0.62,83
freq_547_0,1.0,0.5,0.1,0.17,89
freq_547_0,2.0,0.53,0.91,0.67,76
freq_547_0,Average,0.53,,,
freq_557_0,0.0,0.55,0.57,0.56,83
freq_557_0,1.0,0.44,0.08,0.13,89
freq_557_0,2.0,0.48,0.92,0.63,76
freq_557_0,Average,0.49,,,
freq_568_0,0.0,0.63,0.69,0.66,83
freq_568_0,1.0,0.62,0.06,0.1,89
freq_568_0,2.0,0.47,0.92,0.62,76
freq_568_0,Average,0.5733333333333334,,,
freq_578_0,0.0,0.51,0.54,0.53,83
freq_578_0,1.0,0.53,0.1,0.17,89
freq_578_0,2.0,0.47,0.88,0.61,76
freq_578_0,Average,0.5033333333333333,,,
freq_588_0,0.0,0.52,0.6,0.56,83
freq_588_0,1.0,0.38,0.06,0.1,89
freq_588_0,2.0,0.49,0.88,0.63,76
